Descrição dos alimentos,Energia (Kcal),Energia (KJ),Proteína (g),Lipídeos (g),Carboidratos (g),Cálcio (mg),Ferro (mg),Retinol (mcg),Vitamina C (mg),Sódio  (mg),Restrições
Salsicha em conserva,269.08,1125.83,8.30,25.81,0.27,17.10,0.58,1.44,0.00,752.81,2
Salsicha no varejo crua,321.05,1343.27,9.72,29.51,3.61,16.49,0.81,12.99,0.00,1174.71,2
Salsinha,36.00,150.62,2.98,0.79,6.34,138.00,6.20,520.00,133.00,56.00,0
Salsinha seca,276.00,1154.78,22.40,4.42,51.70,1467.00,97.90,2334.00,122.00,452.00,0
Sapoti,96.00,401.66,0.70,0.10,25.90,29.00,1.20,4.00,13.00,0.00,0
"Sardinha, conserva em óleo",284.98,1192.36,15.94,24.05,0.00,550.24,3.54,0.00,0.00,666.00,3
"Sardinha, inteira, crua",113.90,476.56,21.08,2.65,0.00,167.33,1.34,0.00,0.00,60.00,0
"Seleta de legumes, enlatada",56.53,236.54,3.42,0.35,12.67,16.16,01.06,0.00,0.00,398.14,3
"Serralha, crua",30.40,127.18,2.67,0.74,4.95,126.02,1.27,0.00,1.51,19.35,0
Shoyu,60.93,254.92,3.31,0.33,11.65,14.53,0.50,0.00,0.00,5064.00,1
"Soja, extrato solúvel, natural, fluido",39.10,163.61,2.38,1.61,4.28,16.52,0.43,0.00,0.00,57.00,0
"Soja, extrato solúvel, pó",458.90,1920.02,35.69,26.18,28.48,359.04,07.01,0.00,9.21,83.00,0
"Soja, farinha",403.96,1690.15,36.03,14.63,38.44,206.02,13.06,0.00,0.00,6.00,0
"Soja, queijo (tofu)",64.49,269.81,6.55,3.95,2.13,80.76,1.43,0.00,0.00,1.00,0
Sonho,378.79,1584.86,06.02,18.25,48.08,40.17,1.94,34.34,0.05,132.89,2
Sopa desidratada (média diferentes sabores),348.00,1456.03,11.70,5.30,63.40,55.10,2.45,6.51,0.00,3645.00,1
"Sopa, desidratada, (média diferentes sabores) ",348.00,1456.03,11.70,5.30,63.40,55.10,2.45,6.51,0.00,3645.00,1
Sorvete de qualquer sabor industrializado,206.00,861.90,3.60,11.00,25.13,121.67,0.37,116.00,0.63,78.67,2
"Taioba, crua",34.21,143.13,2.90,0.93,5.43,141.09,1.91,1159.00,17.94,1.16,0
"Tamarindo, cru",275.70,1153.51,3.21,0.46,72.53,37.10,0.55,3.00,7.25,0.36,0
"Tangerina, Poncã, crua",37.83,158.28,0.85,0.07,9.61,12.89,0.11,0.00,48.82,0.00,0
"Tangerina, Poncã, suco",36.11,151.08,0.52,0.00,8.80,4.28,0.00,0.00,41.75,0.00,0
Taperebá,70.00,292.88,0.80,2.10,13.80,26.00,2.20,23.00,28.00,0.00,0
Tempero a base de sal,21.00,87.86,2.70,0.30,2.10,0.00,0.00,0.00,0.00,32560.00,1
Tomate seco,213.00,891.19,05.06,14.08,23.33,47.00,2.68,64.33,101.80,266.00,0
"Tomate, com semente, cru",15.34,64.16,1.10,0.17,3.14,6.94,0.24,103.00,21.21,01.02,0
"Tomate, extrato",60.93,254.95,2.43,0.19,14.96,29.08,02.09,144.00,18.01,497.93,0
"Tomate, molho industrializado",38.45,160.86,1.38,0.90,7.71,11.73,1.58,76.00,2.71,418.28,1
"Tomate, purê",27.94,116.89,1.36,0.00,6.89,13.24,1.25,0.00,5.38,103.93,0
"Tomate, salada",20.55,85.97,0.81,0.00,5.12,6.95,0.29,0.00,12.80,5.24,0
"Torrada, pão francês ",364.00,1522.98,10.60,3.31,74.60,18.80,1.24,0.00,0.00,830.00,3
"Torrada, trigo, tradicional",396.00,1656.86,11.50,6.40,73.60,19.40,5.76,0.00,0.00,913.00,2
"Torrada, trigo, tradicional ",396.00,1656.86,11.50,6.40,73.60,19.40,5.76,0.00,0.00,9.13,2
Tortas salgadas de qualquer sabor,249.55,1044.12,3.87,9.86,38.40,17.95,1.17,45.79,3.52,161.34,0
"Toucinho, cru",592.53,2479.15,11.48,60.26,0.00,2.39,0.44,0.00,0.00,50.00,0
"Tremoço, cru",381.28,1595.27,33.58,10.34,43.79,176.75,2.79,0.00,24.97,3.00,0
"Tremoço, em conserva",120.64,504.77,11.11,3.78,12.39,15.54,0.34,0.00,0.00,1809.00,3
"Trigo para quibe, cru, Triticum spp.",336.00,1405.82,12.30,1.33,74.90,35.00,2.46,0.00,0.00,17.00,0
"Trigo, farelo",370.00,1548.08,17.50,4.74,64.30,74.40,10.80,0.00,0.00,02.04,0
"Tucumã, cru",262.02,1096.27,02.09,19.08,26.47,46.34,0.57,2363.00,17.99,3.89,0
"Tucunaré, filé, congelado, cru",87.69,366.88,17.96,1.22,0.00,19.22,0.27,0.00,0.00,57.00,0
"Umbu, cru",37.02,154.88,0.84,0.00,9.40,11.56,0.09,0.00,24.06,0.00,0
"Umbu, polpa, congelada",33.94,142.02,0.51,0.07,8.79,10.71,0.21,0.00,3.95,5.77,0
"Umbu, polpa, congelada",35.00,146.44,0.52,0.08,8.86,10.80,0.21,0.00,3.96,5.78,0
Uva passa,299.00,1251.02,03.07,0.46,79.18,50.00,1.88,0.80,2.30,11.00,0
"Uva, Itália, crua",52.87,221.22,0.75,0.20,13.57,6.66,0.14,7.30,3.29,0.00,0
"Uva, Rubi, crua",49.06,205.27,0.61,0.16,12.70,7.62,0.17,0.00,1.86,7.92,0
"Uva, suco concentrado, envasado",57.66,241.23,0.00,0.00,14.71,9.32,0.12,0.00,20.97,9.58,0
"Vagem, crua",24.90,104.17,1.79,0.17,5.35,41.10,0.43,32.00,1.15,0.00,0
"Vinagre, maçã",25.00,104.60,0.00,0.00,06.02,7.00,0.20,0.00,0.00,5.00,0
Víscera bovina,191.00,799.14,29.08,5.26,5.13,6.00,6.54,9428.00,1.90,79.00,0
Xérem de milho,62.95,263.38,1.24,0.31,13.50,3.37,0.74,1.83,0.00,05.01,0
